adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$202,004,000","$696,331,800",,-,Buena Vista,Action / Adventure,Black Panther,2/16,1,PG-13,"February 16, 2018",2 hrs. 20 min.,BV,"$696,331,818",2018,"4,020","4,084"
"$257,698,200","$548,090,100",,-,Buena Vista,Action / Adventure,Avengers: Infinity War,4/27,2,PG-13,"April 27, 2018",2 hrs. 36 min.,BV,"$548,090,150",2018,"4,474","4,474"
"$50,203,600","$169,608,000",$17 million,-,Paramount,Horror Thriller,A Quiet Place,4/6,3,PG-13,"April 6, 2018",1 hrs. 35 min.,Par.,"$169,608,030",2018,"3,508","3,808"
"$41,764,000","$134,563,600",,-,Warner Bros.,Sci-Fi Action,Ready Player One,3/29,4,PG-13,"March 29, 2018",2 hrs. 20 min.,WB,"$134,563,601",2018,"4,234","4,234"
"$25,010,900","$114,930,100",$50 million,-,Sony / Columbia,Family,Peter Rabbit,2/9,5,PG,"February 9, 2018",1 hrs. 33 min.,Sony,"$114,930,111",2018,"3,725","3,725"
"$38,560,200","$100,407,800",$55 million,4/5,Universal,Romance,Fifty Shades Freed,2/9,6,R,"February 9, 2018",1 hrs. 45 min.,Uni.,"$100,407,760",2018,"3,768","3,768"
"$33,123,600","$96,812,700",,-,Buena Vista,Fantasy,A Wrinkle in Time,3/9,7,PG,"March 9, 2018",1 hrs. 55 min.,BV,"$96,812,656",2018,"3,980","3,980"
"$35,753,100","$89,827,100",$120 million,-,Warner Bros. (New Line),Action / Adventure,Rampage (2018),4/13,8,PG-13,"April 13, 2018",1 hrs. 47 min.,WB (NL),"$89,827,105",2018,"4,101","4,115"
"$17,108,900","$82,503,600",$7 million,-,Roadside Attractions,Family,I Can Only Imagine,3/16,9,PG,"March 16, 2018",1 hrs. 50 min.,RAtt.,"$82,503,608",2018,"1,629","2,894"
"$17,005,300","$68,748,300",$37 million,-,Warner Bros. (New Line),Action Comedy,Game Night,2/23,10,R,"February 23, 2018",1 hrs. 40 min.,WB (NL),"$68,748,295",2018,"3,488","3,502"
"$29,581,400","$67,347,900",$10 million,3/1,Universal,Horror,Insidious: The Last Key,1/5,11,PG-13,"January 5, 2018",1 hrs. 43 min.,Uni.,"$67,347,895",2018,"3,116","3,150"
"$28,116,500","$59,163,200",$150 million,-,Universal,Sci-Fi Action,Pacific Rim Uprising,3/23,12,PG-13,"March 23, 2018",1 hrs. 51 min.,Uni.,"$59,163,230",2018,"3,708","3,708"
"$20,556,300","$58,126,700",$21 million,-,Universal,Comedy,Blockers,4/6,13,R,"April 6, 2018",1 hrs. 42 min.,Uni.,"$58,126,660",2018,"3,379","3,418"
"$24,167,000","$58,032,400",$62 million,5/3,Fox,Sci-Fi Adventure,Maze Runner: The Death Cure,1/26,14,PG-13,"January 26, 2018",2 hrs. 22 min.,Fox,"$58,032,443",2018,"3,787","3,793"
"$23,633,300","$57,228,500",$94 million,-,Warner Bros.,Action / Adventure,Tomb Raider,3/16,15,PG-13,"March 16, 2018",1 hrs. 58 min.,WB,"$57,228,498",2018,"3,854","3,854"
"$16,853,400","$46,781,500",$69 million,-,Fox,Thriller,Red Sparrow,3/2,16,R,"March 2, 2018",2 hrs. 19 min.,Fox,"$46,781,469",2018,"3,056","3,064"
"$15,815,000","$45,500,100",,3/29,Warner Bros.,War Drama,12 Strong,1/19,17,R,"January 19, 2018",2 hrs. 9 min.,WB,"$45,500,164",2018,"3,002","3,018"
"$15,206,100","$44,947,600",,3/22,STX Entertainment,Action Thriller,Den of Thieves,1/19,18,R,"January 19, 2018",2 hrs. 20 min.,STX,"$44,947,622",2018,"2,432","2,432"
"$16,030,200","$43,952,000",$32 million,-,STX Entertainment,Comedy,I Feel Pretty,4/20,19,PG-13,"April 20, 2018",1 hrs. 50 min.,STX,"$43,952,013",2018,"3,440","3,440"
"$17,170,700","$43,241,900",,-,Lionsgate,Thriller,Tyler Perry's Acrimony,3/30,20,R,"March 30, 2018",2 hrs. 0 min.,LGF,"$43,241,894",2018,"2,006","2,006"
"$10,604,800","$41,760,200",$59 million,-,Paramount,Animation,Sherlock Gnomes,3/23,21,PG,"March 23, 2018",1 hrs. 26 min.,Par.,"$41,760,161",2018,"3,662","3,662"
"$11,756,200","$40,697,100",$17 million,-,Fox,Action / Adventure,"Love, Simon",3/16,22,PG-13,"March 16, 2018",1 hrs. 49 min.,Fox,"$40,697,137",2018,"2,402","2,434"
"$11,002,000","$40,442,100",,3/15,Warner Bros.,Family Adventure,Paddington 2,1/12,23,PG,"January 12, 2018",1 hrs. 43 min.,WB,"$40,442,052",2018,"3,702","3,702"
"$18,667,900","$39,727,000",$3.5 million,-,Universal,Thriller,Truth or Dare,4/13,24,PG-13,"April 13, 2018",1 hrs. 40 min.,Uni.,"$39,727,000",2018,"3,029","3,068"
"$13,701,500","$36,343,900",,3/15,Lionsgate,Action,The Commuter,1/12,25,PG-13,"January 12, 2018",1 hrs. 45 min.,LGF,"$36,343,858",2018,"2,892","2,892"
"$12,554,300","$36,251,000",$30 million,4/12,Warner Bros.,Drama,The 15:17 to Paris,2/9,26,PG-13,"February 9, 2018",1 hrs. 34 min.,WB,"$36,250,957",2018,"3,042","3,042"
"$13,010,300","$33,977,500",$30 million,-,MGM,Action / Crime,Death Wish (2018),3/2,27,R,"March 2, 2018",1 hrs. 47 min.,MGM,"$33,977,533",2018,"2,847","2,882"
"$11,071,600","$32,732,300",$40 million,4/19,Paramount,Sci-Fi,Annihilation,2/23,28,R,"February 23, 2018",1 hrs. 55 min.,Par.,"$32,732,301",2018,"2,012","2,112"
"$1,620,300","$29,951,900",,-,Fox Searchlight,Animation,Isle Of Dogs,3/23,29,PG-13,"March 23, 2018",1 hrs. 41 min.,FoxS,"$29,951,941",2018,27,"1,947"
"$14,711,100","$29,358,400",,-,Pantelion,Romantic Comedy,Overboard (2018),5/4,30,PG-13,"May 4, 2018",1 hrs. 52 min.,PNT,"$29,358,392",2018,"1,623","2,006"
"$15,181,600","$27,383,200",$13.5 million,-,Fox,Comedy,Super Troopers 2,4/20,31,R,"April 20, 2018",1 hrs. 40 min.,Fox,"$27,383,171",2018,"2,038","2,125"
"$9,307,600","$25,091,800",,3/29,Lionsgate,Horror,Winchester,2/2,32,PG-13,"February 2, 2018",1 hrs. 39 min.,LGF,"$25,091,816",2018,"2,480","2,480"
"$10,402,300","$24,419,800",,-,Aviron,Horror,Strangers: Prey at Night,3/9,33,R,"March 9, 2018",1 hrs. 25 min.,Aviron,"$24,419,775",2018,"2,464","2,464"
"$9,959,100","$20,877,000",$14 million,3/8,Sony / Screen Gems,Drama,Proud Mary,1/12,34,R,"January 12, 2018",1 hrs. 28 min.,SGem,"$20,877,013",2018,"2,125","2,125"
"$17,886,100","$17,886,100",,-,Warner Bros. (New Line),Comedy,Life of the Party,5/11,35,PG-13,"May 11, 2018",1 hrs. 45 min.,WB (NL),"$17,886,075",2018,"3,656","3,656"
"$17,630,300","$17,630,300",$6 million,-,Universal,Thriller,Breaking In (2018),5/11,36,PG-13,"May 11, 2018",1 hrs. 28 min.,Uni.,"$17,630,285",2018,"2,537","2,537"
"$5,172,600","$17,499,900",$5 million,-,Sony / Columbia,Drama,"Paul, Apostle of Christ",3/23,37,PG-13,"March 23, 2018",1 hrs. 47 min.,Sony,"$17,499,876",2018,"1,473","1,473"
"$5,765,900","$16,968,100",,-,Entertainment Studios,Thriller,Chappaquiddick,4/6,38,PG-13,"April 6, 2018",1 hrs. 41 min.,ENTMP,"$16,968,137",2018,"1,560","1,645"
"$4,245,600","$16,376,000",$3.5 million,5/10,Roadside Attractions,Romance,Forever My Girl,1/19,39,PG,"January 19, 2018",1 hrs. 44 min.,RAtt.,"$16,376,066",2018,"1,114","1,427"
"$4,493,400","$11,846,100",,2/25,Viva Pictures Distribution,Drama,Padmaavat,1/25,40,Unrated,"January 25, 2018",2 hrs. 44 min.,VPD,"$11,846,060",2018,326,354
"$3,950,700","$9,927,800",,-,Mirror/LD,Drama,The Miracle Season,4/6,41,PG,"April 6, 2018",1 hrs. 39 min.,Mirr/LD,"$9,927,843",2018,"1,707","1,707"
"$4,004,000","$9,561,100",,-,Global Road,Romance,Midnight Sun,3/23,42,PG-13,"March 23, 2018",1 hrs. 31 min.,Global Road,"$9,561,064",2018,"2,173","2,173"
"$3,941,300","$8,910,800",,-,Lionsgate,Thriller,Traffik,4/20,43,R,"April 20, 2018",1 hrs. 36 min.,LGF,"$8,910,787",2018,"1,046","1,046"
"$3,190,500","$8,267,500",,3/29,Lionsgate,Animation,Early Man,2/16,44,PG,"February 16, 2018",1 hrs. 29 min.,LGF,"$8,267,544",2018,"2,494","2,494"
"$3,762,100","$7,732,900",,4/12,Bleecker Street,Thriller,Unsane,3/23,45,R,"March 23, 2018",1 hrs. 38 min.,BST,"$7,732,899",2018,"2,023","2,023"
"$184,800","$7,695,300",,-,IFC,Comedy / Drama,The Death of Stalin,3/9,46,R,"March 9, 2018",1 hrs. 46 min.,IFC,"$7,695,306",2018,4,548
"$3,282,600","$6,992,000",,-,Focus Features,Comedy,Tully (2018),5/4,47,R,"May 4, 2018",1 hrs. 36 min.,Focus,"$6,992,005",2018,"1,353","1,356"
"$3,024,400","$6,115,800",$35 million,-,Entertainment Studios,Action Thriller,The Hurricane Heist,3/9,48,PG-13,"March 9, 2018",1 hrs. 43 min.,ENTMP,"$6,115,825",2018,"2,402","2,402"
"$3,016,100","$6,102,100",$4.9 million,3/22,Orion Pictures,Drama,Every Day (2018),2/23,49,PG-13,"February 23, 2018",1 hrs. 35 min.,Orion,"$6,102,076",2018,"1,667","1,669"
"$2,689,700","$5,673,900",,-,Pure Flix,Drama,God's Not Dead: A Light in Darkness,3/30,50,PG,"March 30, 2018",1 hrs. 46 min.,PFR,"$5,673,883",2018,"1,693","1,693"
