adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$219,530,300","$619,169,000",,4/19,Buena Vista,Sci-Fi Fantasy,Star Wars: The Last Jedi,12/15,1,PG-13,"December 15, 2017",2 hrs. 31 min.,BV,"$620,181,382",2017,"4,232","4,232"
"$181,076,400","$520,271,600",$160 million,7/13,Buena Vista,Fantasy,Beauty and the Beast (2017),3/17,2,PG,"March 17, 2017",2 hrs. 9 min.,BV,"$504,014,165",2017,"4,210","4,210"
"$105,674,100","$422,418,200",$149 million,11/9,Warner Bros.,Action / Adventure,Wonder Woman,6/2,3,PG-13,"June 2, 2017",2 hrs. 21 min.,WB,"$412,563,408",2017,"4,165","4,165"
"$36,090,500","$404,163,100",$90 million,-,Sony / Columbia,Action,Jumanji: Welcome to the Jungle,12/20,4,PG-13,"December 20, 2017",1 hrs. 59 min.,Sony,"$404,422,300",2017,"3,765","3,849"
"$149,947,800","$398,977,800",$200 million,9/21,Buena Vista,Action / Adventure,Guardians of the Galaxy Vol. 2,5/5,5,PG-13,"May 5, 2017",2 hrs. 17 min.,BV,"$389,813,101",2017,"4,347","4,347"
"$120,041,600","$342,750,600",$175 million,11/30,Sony / Columbia,Action / Adventure,Spider-Man: Homecoming,7/7,6,PG-13,"July 7, 2017",2 hrs. 13 min.,Sony,"$334,201,140",2017,"4,348","4,348"
"$126,581,800","$334,418,800",$35 million,12/14,Warner Bros. (New Line),Horror,It,9/8,7,R,"September 8, 2017",2 hrs. 15 min.,WB (NL),"$327,481,748",2017,"4,103","4,148"
"$122,477,600","$314,382,100",$180 million,3/15,Buena Vista,Action / Adventure,Thor: Ragnarok,11/3,8,PG-13,"November 3, 2017",2 hrs. 10 min.,BV,"$315,058,289",2017,"4,080","4,080"
"$74,133,600","$271,364,000",$80 million,12/21,Universal,Animation,Despicable Me 3,6/30,9,PG,"June 30, 2017",1 hrs. 30 min.,Uni.,"$264,624,300",2017,"4,529","4,535"
"$91,612,300","$234,205,600",$97 million,7/13,Fox,Action / Adventure,Logan,3/3,10,R,"March 3, 2017",2 hrs. 15 min.,Fox,"$226,277,068",2017,"4,071","4,071"
"$101,104,600","$231,313,000",$250 million,8/10,Universal,Action,The Fate of the Furious,4/14,11,PG-13,"April 14, 2017",2 hrs. 16 min.,Uni.,"$226,008,385",2017,"4,310","4,329"
"$93,637,800","$228,535,600",,3/15,Warner Bros.,Action / Adventure,Justice League,11/17,12,PG-13,"November 17, 2017",1 hrs. 59 min.,WB,"$229,024,295",2017,"4,051","4,051"
"$50,691,900","$209,350,500",,4/26,Buena Vista,Animation,Coco,11/22,13,PG,"November 22, 2017",1 hrs. 49 min.,BV,"$209,726,015",2017,"3,987","3,987"
"$51,814,500","$192,847,000",$100 million,11/23,Warner Bros.,War,Dunkirk,7/21,14,PG-13,"July 21, 2017",1 hrs. 46 min.,WB,"$188,045,546Domestic Lifetime Gross: $190,068,280",2017,"3,720","4,014"
"$34,585,300","$182,086,200",$4.5 million,2/15,Universal,Horror,Get Out,2/24,15,R,"February 24, 2017",1 hrs. 43 min.,Uni.,"$176,040,665",2017,"2,781","3,143"
"$54,922,100","$182,063,700",$80 million,6/8,Warner Bros.,Animation,The LEGO Batman Movie,2/10,16,PG,"February 10, 2017",1 hrs. 44 min.,WB,"$175,750,384",2017,"4,088","4,088"
"$52,016,100","$179,112,500",,11/2,Fox,Animation,The Boss Baby,3/31,17,PG,"March 31, 2017",1 hrs. 37 min.,Fox,"$175,003,033",2017,"3,773","3,829"
"$64,461,100","$176,629,500",$230 million,9/21,Buena Vista,Period Adventure,Pirates of the Caribbean: Dead Men Tell No Tales,5/26,18,PG-13,"May 26, 2017",2 hrs. 9 min.,BV,"$172,558,876",2017,"4,276","4,276"
"$8,786,700","$173,808,900",$84 million,-,Fox,Musical,The Greatest Showman,12/20,19,PG,"December 20, 2017",1 hrs. 45 min.,Fox,"$173,881,876",2017,"3,006","3,342"
"$63,234,500","$173,766,800",$185 million,6/15,Warner Bros.,Action / Adventure,Kong: Skull Island,3/10,20,PG-13,"March 10, 2017",1 hrs. 58 min.,WB,"$168,052,812",2017,"3,846","3,846"
"$54,948,400","$156,571,000",,11/2,Buena Vista,Animation,Cars 3,6/16,21,G,"June 16, 2017",1 hrs. 42 min.,BV,"$152,901,115",2017,"4,256","4,256"
"$57,712,000","$150,647,500",$150 million,11/30,Fox,Sci-Fi Action,War for the Planet of the Apes,7/14,22,PG-13,"July 14, 2017",2 hrs. 20 min.,Fox,"$146,880,162",2017,"4,022","4,100"
