adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$39,100","$675,300",,7/31,Sony Classics,Documentary,Jodorowsky's Dune,3/21,240,PG-13,"March 21, 2014",1 hrs. 30 min.,SPC,"$647,280",2014,3,61
"$396,400","$665,100",,9/18,Eros,Foreign,Mary Kom,9/5,241,Unrated,"September 5, 2014",2 hrs. 2 min.,Eros,"$621,300",2014,139,139
"$551,800","$659,100",,9/18,FIP,Foreign,Finding Fanny,9/12,242,Unrated,"September 12, 2014",1 hrs. 42 min.,FIP,"$615,691",2014,121,121
"$161,600","$627,700",,7/17,Focus Features,Sci-Fi Thriller,The Signal (2014),6/13,243,PG-13,"June 13, 2014",1 hrs. 35 min.,Focus,"$600,896",2014,120,204
"$71,700","$622,300",,11/6,Weinstein Company,Drama,The Disappearance of Eleanor Rigby,9/12,244,R,"September 12, 2014",2 hrs. 2 min.,Wein.,"$587,774",2014,4,139
"$234,800","$605,500",,3/2,Well Go USA,Foreign,The Attorney,2/7,245,Unrated,"February 7, 2014",2 hrs. 7 min.,WGUSA,"$557,236",2014,27,27
"$426,700","$597,000",,9/11,Paramount,Drama,Forrest Gump (IMAX),9/5,246,PG-13,"September 5, 2014",,Par.,"$557,683Domestic Lifetime Gross: $330,252,182",2014,337,337
"$215,300","$594,700",,1/15,China Lion,Foreign,Back in Time (Congcong Nanian),12/12,247,Unrated,"December 12, 2014",,CL,"$569,280",2014,20,20
"$355,000","$575,000",,3/16,UTV Communications,Foreign,Highway (2014),2/21,248,Unrated,"February 21, 2014",2 hrs. 12 min.,UTV,"$529,136",2014,97,97
"$351,300","$572,300",,11/20,Ocean Avenue Entertainment,Sports Drama,23 Blast,10/24,249,PG-13,"October 24, 2014",1 hrs. 38 min.,OAE,"$549,185",2014,617,617
"$334,400","$565,900",,11/23,Hannover House,Documentary,On Any Sunday: The Next Chapter,11/7,250,PG,"November 7, 2014",1 hrs. 30 min.,Hann.,"$543,044",2014,231,231
"$236,100","$551,300",,7/20,Janus Films,Musical,A Hard Day's Night (2014 re-release),7/4,251,G,"July 4, 2014",1 hrs. 27 min.,Jan.,"$515,005",2014,102,136
"$51,400","$549,100",,10/16,Radius-TWC,Romantic Comedy,The One I Love,8/22,252,R,"August 22, 2014",1 hrs. 31 min.,RTWC,"$513,447",2014,8,82
"$30,400","$543,600",,5/15,Fox Searchlight,Crime,Dom Hemingway,4/2,253,R,"April 2, 2014",1 hrs. 33 min.,FoxS,"$523,511",2014,4,129
"$23,100","$532,400",,11/27,Weinstein Company,Drama,Tracks (2014),9/19,254,PG-13,"September 19, 2014",1 hrs. 42 min.,Wein.,"$510,007",2014,4,67
"$46,200","$528,900",,12/25,Magnolia,Thriller,The Two Faces of January,9/26,255,PG-13,"September 26, 2014",1 hrs. 38 min.,Magn.,"$507,463",2014,6,59
,"$517,600",,9/10,Kino Lorber,Foreign,A Girl Walks Home Alone at Night,11/21,256,Unrated,"November 21, 2014",1 hrs. 39 min.,KL,"$491,910",2014,,19
"$32,700","$489,400",,2/26,American Experience Films,Documentary,Last Days in Vietnam,9/5,257,Unrated,"September 5, 2014",1 hrs. 38 min.,AEF,"$466,114",2014,2,25
"$288,600","$482,700",,3/6,Roadside Attractions,Romantic Thriller,In Secret,2/21,258,R,"February 21, 2014",,RAtt.,"$444,179",2014,266,266
"$152,300","$465,400",,3/27,China Lion,Foreign,Beijing Love Story,2/14,259,Unrated,"February 14, 2014",2 hrs. 2 min.,CL,"$428,318",2014,9,12
"$154,900","$460,500",,10/16,China Lion,Foreign,But Always (Yi Sheng Yi Shi),9/5,260,Unrated,"September 5, 2014",1 hrs. 46 min.,CL,"$430,760",2014,20,20
"$41,900","$444,500",,7/31,IFC,Drama / Thriller,Cold in July,5/23,261,R,"May 23, 2014",1 hrs. 40 min.,IFC,"$427,418",2014,6,73
"$10,900","$444,000",,10/22,International Film Circuit,Documentary,She's Beautiful When She's Angry,12/5,262,Unrated,"December 5, 2014",1 hrs. 32 min.,ICir,"$421,573",2014,1,19
"$27,900","$442,800",,10/5,Well Go USA,Foreign,The Pirates,9/5,263,Unrated,"September 5, 2014",2 hrs. 10 min.,WGUSA,"$415,775",2014,1,25
"$35,600","$434,500",,6/19,Samuel Goldwyn,Foreign,The German Doctor,4/25,264,PG-13,"April 25, 2014",1 hrs. 33 min.,Gold.,"$418,392",2014,5,39
,"$410,700",,4/23,Kino Lorber,Foreign,Goodbye to Language,10/24,265,Unrated,"October 24, 2014",1 hrs. 10 min.,KL,"$390,099",2014,,7
"$406,800","$406,800",,7/13,Reliance Big Pictures,Foreign,Humpty Sharma Ki Dulhania,7/11,266,Unrated,"July 11, 2014",2 hrs. 13 min.,Relbig.,"$380,011",2014,101,101
"$25,700","$398,700",,8/10,IFC,Drama,Venus in Fur,6/20,267,Unrated,"June 20, 2014",1 hrs. 36 min.,IFC,"$373,605",2014,2,45
"$77,200","$391,600",,1/11,China Lion,Foreign,Women Who Flirt (Sajiao Nvren),11/26,268,Unrated,"November 26, 2014",,CL,"$375,495",2014,26,27
"$109,900","$387,700",,5/22,Roadside Attractions,Drama,Joe (2014),4/11,269,R,"April 11, 2014",1 hrs. 57 min.,RAtt.,"$373,375",2014,48,48
"$170,600","$386,900",,3/2,Adopt Films,Foreign,Omar,2/21,270,Unrated,"February 21, 2014",1 hrs. 36 min.,AF,"$356,000",2014,53,53
"$90,400","$380,900",,1/1,Area23a,Documentary,Glen Campbell... I'll Be Me,10/24,271,PG,"October 24, 2014",1 hrs. 45 min.,A23,"$365,422",2014,10,18
"$26,800","$371,700",,4/24,IFC,Drama,The Face of Love,3/7,272,PG-13,"March 7, 2014",1 hrs. 32 min.,IFC,"$350,006",2014,3,42
"$11,700","$366,200",,8/17,Cohen Media Group,Foreign,Le Chef,6/20,273,PG-13,"June 20, 2014",1 hrs. 24 min.,Cohen,"$342,667",2014,1,19
"$17,400","$362,000",,4/3,IFC,Foreign,"Like Father, Like Son (2014)",1/17,274,Unrated,"January 17, 2014",2 hrs. 1 min.,IFC,"$334,616",2014,2,35
"$29,600","$360,200",,8/21,Fox Searchlight,Drama,I Origins,7/18,275,R,"July 18, 2014",1 hrs. 53 min.,FoxS,"$336,472",2014,4,122
"$103,900","$355,300",,10/16,Xlrator Media,Music Drama,Jimi: All Is By My Side,9/26,276,R,"September 26, 2014",1 hrs. 58 min.,XL,"$340,911",2014,34,75
"$24,400","$352,800",,7/17,Cohen Media Group,Foreign,Chinese Puzzle,5/16,277,R,"May 16, 2014",1 hrs. 57 min.,Cohen,"$338,523",2014,2,29
"$30,000","$352,700",,5/8,Strand,Foreign,Stranger By the Lake,1/24,278,Unrated,"January 24, 2014",1 hrs. 40 min.,Strand,"$325,196",2014,2,16
"$30,300","$352,100",,4/24,IFC,Documentary,Elaine Stritch: Shoot Me,2/21,279,Unrated,"February 21, 2014",1 hrs. 21 min.,IFC,"$327,452",2014,2,41
"$90,500","$351,100",,10/26,Picturehouse (II),Thriller,The Guest (2014),9/17,280,R,"September 17, 2014",1 hrs. 39 min.,PH,"$332,890",2014,19,53
"$77,900","$339,700",,6/19,Magnolia,Drama,Nymphomaniac: Volume II,4/4,281,Unrated,"April 4, 2014",2 hrs. 4 min.,Magn.,"$327,167",2014,30,31
"$11,400","$333,900",,5/15,Cohen Media Group,Foreign,On My Way,3/14,282,Unrated,"March 14, 2014",1 hrs. 56 min.,Cohen,"$317,324",2014,1,32
"$17,100","$328,500",,10/2,Music Box Films,Foreign,A Five Star Life,7/18,283,Unrated,"July 18, 2014",1 hrs. 25 min.,MBox,"$306,917",2014,1,20
"$207,100","$327,000",,12/11,Eros,Foreign,Happy Ending,11/21,284,Unrated,"November 21, 2014",,Eros,"$313,770",2014,129,129
"$6,200","$325,000",,7/2,Proud Mother Pictures,Documentary,I Am Eleven,9/12,285,Unrated,"September 12, 2014",1 hrs. 34 min.,Proud,"$310,116",2014,2,16
"$27,600","$324,900",,7/31,Freestyle Releasing,Documentary,The Hornet's Nest,5/9,286,R,"May 9, 2014",1 hrs. 33 min.,Free,"$312,706",2014,4,57
"$28,400","$324,100",,11/13,Drafthouse,Foreign,Mood Indigo,7/18,287,Unrated,"July 18, 2014",1 hrs. 34 min.,Drft.,"$303,187",2014,2,37
"$251,800","$314,800",,9/18,JSC Entertainment,Fantasy,Innocence (2014),9/5,288,PG-13,"September 5, 2014",1 hrs. 34 min.,JSC,"$294,039",2014,490,490
"$27,600","$308,900",,9/18,Samuel Goldwyn,Drama,The Last of Robin Hood,8/29,289,R,"August 29, 2014",1 hrs. 34 min.,Gold.,"$288,545",2014,2,78
"$25,700","$308,000",,8/28,Abkco Films,Foreign,The Dance of Reality,5/23,290,Unrated,"May 23, 2014",2 hrs. 6 min.,Abk.,"$293,680",2014,2,15
"$33,600","$303,300",,3/26,Music Box Films,Documentary,Antarctica: A Year on Ice,11/28,291,PG,"November 28, 2014",1 hrs. 31 min.,MBox,"$288,757",2014,8,30
"$129,400","$300,800",,9/25,Well Go USA,Foreign,Kundo: Age of the Rampant,8/29,292,Unrated,"August 29, 2014",2 hrs. 15 min.,WGUSA,"$280,958",2014,28,28
"$68,000","$298,000",,1/1,Millennium Ent.,Romantic Comedy,Elsa & Fred (2014),11/7,293,PG-13,"November 7, 2014",1 hrs. 37 min.,MNE,"$285,863",2014,34,34
"$29,800","$292,600",,1/15,Drafthouse,Documentary,"20,000 Days on Earth",9/17,294,Unrated,"September 17, 2014",1 hrs. 37 min.,Drft.,"$279,558",2014,1,28
"$70,800","$287,700",,1/29,China Lion,Foreign,Love on the Cloud (Wei Ai),12/24,295,Unrated,"December 24, 2014",2 hrs. 15 min.,CL,"$271,734",2014,17,17
"$66,800","$287,100",,7/3,Radius-TWC,Documentary,The Unknown Known,4/4,296,PG-13,"April 4, 2014",1 hrs. 42 min.,RTWC,"$276,497",2014,18,80
"$168,600","$285,100",,4/24,Eros,Foreign,Main Tera Hero,4/4,297,Unrated,"April 4, 2014",1 hrs. 40 min.,Eros,"$274,579",2014,77,77
"$22,300","$284,200",,9/25,Cinedigm Entertainment,Thriller,Night Moves,5/30,298,R,"May 30, 2014",1 hrs. 52 min.,Cdgm.,"$271,755",2014,2,56
"$111,700","$284,200",,9/25,Roadside Attractions,Comedy,Life of Crime,8/29,299,R,"August 29, 2014",1 hrs. 34 min.,RAtt.,"$265,452",2014,37,37
"$14,200","$276,900",,5/1,GKIDS,Animation,Ernest & Celestine,2/28,300,PG,"February 28, 2014",1 hrs. 20 min.,GK,"$262,075",2014,1,39
"$27,400","$276,800",,6/22,Ketchup Entertainment,Comedy,The Love Punch,5/23,301,PG-13,"May 23, 2014",1 hrs. 35 min.,KE,"$266,588",2014,40,121
"$7,700","$274,000",,10/30,Bond/360,Documentary,Alive Inside,7/18,302,Unrated,"July 18, 2014",1 hrs. 14 min.,B360,"$256,682",2014,1,20
"$89,700","$272,200",,10/23,Amplify,Sci-Fi,The Zero Theorem,9/19,303,R,"September 19, 2014",1 hrs. 47 min.,Ampl.,"$257,706",2014,63,63
"$35,000","$271,900",,11/27,Music Box Films,Documentary,The Green Prince,9/12,304,PG-13,"September 12, 2014",1 hrs. 35 min.,MBox,"$258,237",2014,4,24
"$33,900","$268,300",,6/26,Radius-TWC,Thriller,Blue Ruin,4/25,305,R,"April 25, 2014",1 hrs. 30 min.,RTWC,"$258,384",2014,7,61
"$179,000","$267,700",,12/18,Eros,Foreign,Action Jackson (2014),12/5,306,Unrated,"December 5, 2014",2 hrs. 24 min.,Eros,"$256,872",2014,125,125
"$10,500","$266,700",,3/26,Zipporah Films,Documentary,National Gallery,11/5,307,Unrated,"November 5, 2014",3 hrs. 3 min.,Zipp.,"$253,941",2014,1,15
"$22,700","$265,400",,12/4,IFC,Foreign,The Blue Room,10/3,308,R,"October 3, 2014",1 hrs. 15 min.,IFC,"$254,666",2014,3,42
"$25,800","$263,200",,10/23,CJ Entertainment,Foreign,Tazza: The Hidden Card,9/19,309,Unrated,"September 19, 2014",2 hrs. 27 min.,CJ,"$251,555",2014,1,11
"$5,400","$256,700",,7/20,Zeitgeist,Documentary,The Galapagos Affair: Satan Came to Eden,4/4,310,Unrated,"April 4, 2014",2 hrs. 0 min.,Zeit.,"$247,159",2014,1,15
"$160,500","$252,300",,8/14,DisruptiveLA,Documentary,James Cameron's Deepsea Challenge 3D,8/8,311,PG,"August 8, 2014",1 hrs. 31 min.,DLA,"$235,659",2014,304,304
"$22,400","$246,000",,2/5,Oscilloscope Pictures,Documentary,Art and Craft,9/19,312,Unrated,"September 19, 2014",1 hrs. 29 min.,Osci.,"$235,037",2014,2,20
"$8,900","$241,000",,1/25,Zeitgeist,Foreign,Diplomacy,10/15,313,Unrated,"October 15, 2014",1 hrs. 25 min.,Zeit.,"$230,880",2014,1,14
"$93,600","$237,700",,2/6,Well Go USA,Foreign,The Suspect (2014),1/10,314,Unrated,"January 10, 2014",2 hrs. 17 min.,WGUSA,"$218,693",2014,20,20
"$123,700","$235,000",,12/11,Eros,Comedy,Dr. Cabbie (U.S. only),11/26,315,Unrated,"November 26, 2014",1 hrs. 41 min.,Eros,"$225,490",2014,220,220
"$65,100","$223,700",,7/27,China Lion,Foreign,The Breakup Guru,6/27,316,Unrated,"June 27, 2014",1 hrs. 54 min.,CL,"$208,959",2014,12,12
"$23,900","$223,200",,8/21,Radius-TWC,Documentary,Supermensch: The Legend of Shep Gordon,6/6,317,R,"June 6, 2014",1 hrs. 24 min.,RTWC,"$213,064",2014,4,46
"$75,700","$219,200",,3/23,Adopt Films,Foreign,Bethlehem,3/7,318,Unrated,"March 7, 2014",1 hrs. 39 min.,AF,"$201,700",2014,26,29
"$15,000","$217,600",,5/22,Millennium Ent.,Crime Thriller,Rob the Mob,3/21,319,R,"March 21, 2014",1 hrs. 44 min.,MNE,"$208,693",2014,1,30
,"$217,500",,7/31,Focus Features,Documentary,Under the Electric Sky,5/29,320,PG-13,"May 29, 2014",1 hrs. 29 min.,Focus,"$207,584",2014,,25
"$13,400","$211,300",,10/26,Big World Pictures,Foreign,A Summer's Tale,6/20,321,G,"June 20, 2014",1 hrs. 48 min.,BWP,"$198,126",2014,2,9
"$155,100","$210,100",,4/10,Freestyle Releasing,Thriller,Jinn,4/4,322,PG-13,"April 4, 2014",1 hrs. 37 min.,Free,"$202,348",2014,201,201
"$15,200","$209,500",,8/21,Magnolia,Comedy / Drama,The Double (2014),5/9,323,R,"May 9, 2014",1 hrs. 33 min.,Magn.,"$200,406",2014,2,16
"$24,300","$208,800",,1/29,Tribeca Film,Drama,Listen Up Philip,10/17,324,Unrated,"October 17, 2014",1 hrs. 48 min.,Trib.,"$200,126",2014,2,30
