adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$128,225,100","$488,589,200",$200 million,12/2,Buena Vista,Animation,Toy Story 3,6/18,1,G,"June 18, 2010",1 hrs. 43 min.,BV,"$415,004,880",2010,"4,028","4,028"
"$133,771,700","$385,654,200",$200 million,7/8,Buena Vista,Family Adventure,Alice in Wonderland (2010),3/5,2,PG,"March 5, 2010",1 hrs. 49 min.,BV,"$334,191,110",2010,"3,728","3,739"
"$148,934,300","$363,361,500",$200 million,8/19,Paramount,Action / Adventure,Iron Man 2,5/7,3,PG-13,"May 7, 2010",2 hrs. 5 min.,Par.,"$312,433,331",2010,"4,380","4,390"
"$75,363,300","$357,043,600",$68 million,10/21,Summit Entertainment,Romance,The Twilight Saga: Eclipse,6/30,4,PG-13,"June 30, 2010",2 hrs. 4 min.,Sum.,"$300,531,751",2010,"4,468","4,468"
"$74,593,200","$347,374,900",$160 million,1/6,Warner Bros.,Sci-Fi Action,Inception,7/16,5,PG-13,"July 16, 2010",2 hrs. 28 min.,WB,"$292,576,195",2010,"3,792","3,792"
"$142,966,200","$338,821,000",,4/7,Warner Bros.,Fantasy,Harry Potter and the Deathly Hallows Part 1,11/19,6,PG-13,"November 19, 2010",2 hrs. 30 min.,WB,"$295,983,305",2010,"4,125","4,125"
"$67,003,600","$298,565,300",$69 million,1/20,Universal,Animation,Despicable Me,7/9,7,PG,"July 9, 2010",1 hrs. 35 min.,Uni.,"$251,513,985",2010,"3,476","3,602"
"$82,344,900","$277,831,600",$165 million,9/9,Paramount (DreamWorks),Animation,Shrek Forever After,5/21,8,PG,"May 21, 2010",1 hrs. 33 min.,P/DW,"$238,736,787",2010,"4,359","4,386"
"$50,388,400","$252,991,900",$165 million,7/22,Paramount (DreamWorks),Animation,How to Train Your Dragon,3/26,9,PG,"March 26, 2010",1 hrs. 38 min.,P/DW,"$217,581,231",2010,"4,055","4,060"
"$55,768,600","$230,528,200",$260 million,6/2,Buena Vista,Animation,Tangled,11/24,10,PG,"November 24, 2010",1 hrs. 40 min.,BV,"$200,821,936",2010,"3,603","3,603"
"$64,708,000","$206,720,900",$40 million,9/23,Sony / Columbia,Action Drama,The Karate Kid,6/11,11,PG,"June 11, 2010",2 hrs. 20 min.,Sony,"$176,591,618",2010,"3,663","3,740"
"$28,395,400","$198,174,800",$38 million,4/28,Paramount,Western,True Grit,12/22,12,PG-13,"December 22, 2010",1 hrs. 50 min.,Par.,"$171,243,005",2010,"3,047","3,464"
"$50,347,100","$198,061,000",$170 million,4/14,Buena Vista,Sci-Fi Action,Tron Legacy,12/17,13,PG,"December 17, 2010",2 hrs. 5 min.,BV,"$172,062,763",2010,"3,451","3,451"
"$47,086,300","$192,445,300",$80 million,10/28,Sony / Columbia,Comedy,Grown Ups,6/25,14,PG-13,"June 25, 2010",1 hrs. 42 min.,Sony,"$162,001,186",2010,"3,534","3,534"
"$71,181,900","$189,744,400",$125 million,7/22,Warner Bros.,Fantasy,Clash of the Titans (2010),4/2,15,PG-13,"April 2, 2010",1 hrs. 58 min.,WB,"$163,214,888",2010,"3,777","3,802"
"$35,260,500","$171,313,300",$100 million,3/17,Universal,Comedy,Little Fockers,12/22,16,PG-13,"December 22, 2010",1 hrs. 38 min.,Uni.,"$148,438,600",2010,"3,536","3,675"
"$52,623,500","$169,829,900",$130 million,2/24,Paramount (DreamWorks),Animation,Megamind,11/5,17,PG,"November 5, 2010",1 hrs. 36 min.,P/DW,"$148,415,853",2010,"3,944","3,949"
"$406,500","$157,525,600",$15 million,3/31,Weinstein Company,Historical Drama,The King's Speech,11/26,18,R,"November 26, 2010",1 hrs. 58 min.,Wein.,"$135,453,143Domestic Lifetime Gross: $138,797,449",2010,4,"2,584"
"$47,908,800","$156,554,200",$150 million,9/23,Paramount,Fantasy,The Last Airbender,7/1,19,PG,"July 1, 2010",1 hrs. 43 min.,Par.,"$131,772,187",2010,"3,169","3,203"
"$47,312,200","$147,605,000",$80 million,6/10,Paramount,Period Drama,Shutter Island,2/19,20,R,"February 19, 2010",2 hrs. 18 min.,Par.,"$128,012,934",2010,"2,991","3,356"
"$42,227,700","$141,554,100",$100 million,11/18,Sony / Columbia,Action Comedy,The Other Guys,8/6,21,PG-13,"August 6, 2010",1 hrs. 47 min.,Sony,"$119,219,978",2010,"3,651","3,651"
"$42,783,800","$140,515,800",$110 million,10/28,Sony / Columbia,Action Thriller,Salt,7/23,22,PG-13,"July 23, 2010",1 hrs. 39 min.,Sony,"$118,311,368",2010,"3,612","3,612"
"$57,582,900","$134,064,500",$20 million,1/20,Paramount,Comedy,Jackass 3-D,10/15,23,R,"October 15, 2010",1 hrs. 34 min.,Par.,"$117,229,692",2010,"3,081","3,139"
"$64,823,700","$127,308,800",$52 million,5/6,Warner Bros. (New Line),Romantic Comedy,Valentine's Day,2/12,24,PG-13,"February 12, 2010",1 hrs. 57 min.,WB (NL),"$110,485,654",2010,"3,665","3,665"
"$1,651,100","$123,786,600",$13 million,5/5,Fox Searchlight,Drama / Thriller,Black Swan,12/3,25,R,"December 3, 2010",1 hrs. 43 min.,FoxS,"$106,954,678",2010,18,"2,407"
"$41,921,400","$122,436,400",$200 million,8/5,Universal,Period Adventure,Robin Hood,5/14,26,PG-13,"May 14, 2010",2 hrs. 28 min.,Uni.,"$105,269,730",2010,"3,503","3,505"
"$41,374,600","$122,417,500",$80 million,10/21,Lionsgate,Action,The Expendables,8/13,27,R,"August 13, 2010",1 hrs. 43 min.,LGF,"$103,068,524",2010,"3,270","3,398"
"$27,451,500","$119,976,700",$155 million,4/14,Fox,Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,12/10,28,PG,"December 10, 2010",1 hrs. 52 min.,Fox,"$104,386,950",2010,"3,555","3,555"
"$18,767,500","$115,654,100",$80 million,4/7,Warner Bros.,Family Comedy,Yogi Bear,12/17,29,PG,"December 17, 2010",1 hrs. 22 min.,WB,"$100,246,011",2010,"3,515","3,515"
"$37,382,600","$115,011,300",$65 million,1/27,Warner Bros.,Comedy,Due Date,11/5,30,R,"November 5, 2010",1 hrs. 35 min.,WB,"$100,539,043",2010,"3,355","3,365"
"$29,302,200","$114,787,600",$55 million,9/9,Fox,Comedy,Date Night,4/9,31,PG-13,"April 9, 2010",1 hrs. 28 min.,Fox,"$98,711,404",2010,"3,374","3,380"
"$25,668,200","$110,975,500",$40 million,3/3,Sony / Columbia,Comedy / Drama,The Social Network,10/1,32,PG-13,"October 1, 2010",2 hrs. 0 min.,Sony,"$96,962,694",2010,"2,771","2,921"
