adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$173,408,400","$468,210,100",$130 million,4/3,Lionsgate,Action / Adventure,The Hunger Games: Catching Fire,11/22,1,PG-13,"November 22, 2013",2 hrs. 26 min.,LGF,"$424,668,047",2013,"4,163","4,163"
"$267,000","$449,215,700",$150 million,7/17,Buena Vista,Animation,Frozen,11/22,2,PG,"November 22, 2013",1 hrs. 48 min.,BV,"$400,738,009",2013,1,"3,742"
"$190,353,700","$447,459,600",$200 million,9/12,Buena Vista,Action / Adventure,Iron Man 3,5/3,3,PG-13,"May 3, 2013",2 hrs. 9 min.,BV,"$409,013,994",2013,"4,253","4,253"
"$97,578,900","$429,549,900",$76 million,1/16,Universal,Animation,Despicable Me 2,7/3,4,PG,"July 3, 2013",1 hrs. 38 min.,Uni.,"$368,061,265",2013,"3,997","4,003"
"$127,474,100","$322,894,300",$225 million,9/19,Warner Bros.,Action / Adventure,Man of Steel,6/14,5,PG-13,"June 14, 2013",2 hrs. 23 min.,WB,"$291,045,518",2013,"4,207","4,207"
"$90,101,900","$304,115,900",,12/19,Buena Vista,Animation,Monsters University,6/21,6,G,"June 21, 2013",1 hrs. 47 min.,BV,"$268,492,764",2013,"4,004","4,004"
"$61,196,600","$301,710,600",$100 million,5/8,Warner Bros.,Sci-Fi Thriller,Gravity,10/4,7,PG-13,"October 4, 2013",1 hrs. 31 min.,WB,"$274,092,705",2013,"3,575","3,820"
"$80,789,200","$288,678,200",,4/17,Warner Bros. (New Line),Fantasy,The Hobbit: The Desolation of Smaug,12/13,8,PG-13,"December 13, 2013",2 hrs. 41 min.,WB (NL),"$258,366,855",2013,"3,903","3,928"
"$91,266,000","$268,102,800",$215 million,7/18,Buena Vista,Adventure,Oz The Great and Powerful,3/8,9,PG,"March 8, 2013",2 hrs. 7 min.,BV,"$234,911,825",2013,"3,912","3,912"
"$106,438,800","$261,481,400",$160 million,9/5,Universal,Action,Fast & Furious 6,5/24,10,PG-13,"May 24, 2013",2 hrs. 10 min.,Uni.,"$238,679,850",2013,"3,658","3,771"
