adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$261,077,600","$990,334,300",$245 million,6/2,Buena Vista,Sci-Fi Fantasy,Star Wars: The Force Awakens,12/18,1,PG-13,"December 18, 2015",2 hrs. 16 min.,BV,"$936,662,225",2015,"4,134","4,134"
"$231,838,200","$724,090,700",$150 million,11/19,Universal,Action / Adventure,Jurassic World,6/12,2,PG-13,"June 12, 2015",2 hrs. 4 min.,Uni.,"$652,270,625",2015,"4,274","4,291"
"$203,489,400","$490,306,500",$250 million,10/8,Buena Vista,Action / Adventure,Avengers: Age of Ultron,5/1,3,PG-13,"May 1, 2015",2 hrs. 21 min.,BV,"$459,005,868",2015,"4,276","4,276"
"$100,416,100","$395,589,200",$175 million,12/10,Buena Vista,Animation,Inside Out,6/19,4,PG,"June 19, 2015",1 hrs. 34 min.,BV,"$356,461,711",2015,"3,946","4,158"
"$156,589,200","$375,778,000",$190 million,7/24,Universal,Action,Furious 7,4/3,5,PG-13,"April 3, 2015",2 hrs. 17 min.,Uni.,"$353,007,020",2015,"4,004","4,022"
"$128,482,500","$372,942,500",$74 million,12/17,Universal,Animation,Minions,7/10,6,PG,"July 10, 2015",1 hrs. 31 min.,Uni.,"$336,045,770",2015,"4,301","4,311"
"$108,094,300","$296,798,600",$160 million,2/25,Lionsgate,Action / Adventure,The Hunger Games: Mockingjay - Part 2,11/20,7,PG-13,"November 20, 2015",2 hrs. 17 min.,LGF,"$281,723,902",2015,"4,175","4,175"
"$57,180,100","$240,557,200",$108 million,3/17,Fox,Sci-Fi,The Martian,10/2,8,PG-13,"October 2, 2015",2 hrs. 21 min.,Fox,"$228,433,663",2015,"3,831","3,854"
"$76,571,000","$222,649,000",$95 million,9/17,Buena Vista,Fantasy,Cinderella (2015),3/13,9,PG,"March 13, 2015",1 hrs. 52 min.,BV,"$201,151,353",2015,"3,845","3,848"
"$61,644,100","$216,413,200",$150 million,10/29,Paramount,Action,Mission: Impossible - Rogue Nation,7/31,10,PG-13,"July 31, 2015",2 hrs. 10 min.,Par.,"$195,042,377",2015,"3,956","3,988"
"$74,125,600","$210,697,000",$245 million,4/7,Sony / Columbia,Action,Spectre,11/6,11,PG-13,"November 6, 2015",2 hrs. 28 min.,Sony,"$200,074,609",2015,"3,929","3,929"
"$63,537,700","$199,945,600",$130 million,12/17,Buena Vista,Action / Adventure,Ant-Man,7/17,12,PG-13,"July 17, 2015",1 hrs. 57 min.,BV,"$180,202,163",2015,"3,856","3,868"
"$73,638,400","$198,464,300",$29 million,7/30,Universal,Comedy,Pitch Perfect 2,5/15,13,PG-13,"May 15, 2015",1 hrs. 55 min.,Uni.,"$184,296,230",2015,"3,473","3,660"
"$499,700","$196,014,300",$135 million,5/26,Fox,Action / Adventure,The Revenant,12/25,14,R,"December 25, 2015",2 hrs. 31 min.,Fox,"$183,637,894",2015,4,"3,711"
"$58,781,600","$189,107,400",$135 million,9/10,Fox,Animation,Home (2015),3/27,15,PG,"March 27, 2015",1 hrs. 34 min.,Fox,"$177,397,510",2015,"3,708","3,801"
"$96,080,100","$187,336,800",$40 million,5/7,Universal,Romance,Fifty Shades of Grey,2/13,16,R,"February 13, 2015",2 hrs. 5 min.,Uni.,"$166,167,230",2015,"3,646","3,655"
"$62,456,100","$183,652,100",$74 million,5/28,Paramount,Animation,The SpongeBob Movie: Sponge Out of Water,2/6,17,PG,"February 6, 2015",1 hrs. 33 min.,Par.,"$162,994,032",2015,"3,641","3,680"
"$66,840,400","$178,883,700",$28 million,10/22,Universal,Drama,Straight Outta Compton,8/14,18,R,"August 14, 2015",2 hrs. 27 min.,Uni.,"$161,197,785",2015,"2,757","3,142"
"$53,810,100","$178,690,900",$80 million,3/3,Sony / Columbia,Animation,Hotel Transylvania 2,9/25,19,PG,"September 25, 2015",1 hrs. 29 min.,Sony,"$169,700,110",2015,"3,754","3,768"
"$58,075,200","$172,298,800",$110 million,10/15,Warner Bros. (New Line),Action,San Andreas,5/29,20,PG-13,"May 29, 2015",1 hrs. 54 min.,WB (NL),"$155,190,832",2015,"3,777","3,812"
"$48,330,000","$165,834,300",$150 million,9/24,Warner Bros.,Sci-Fi Action,Mad Max: Fury Road,5/15,21,R,"May 15, 2015",2 hrs. 0 min.,WB,"$153,636,354Domestic Lifetime Gross: $154,058,340",2015,"3,702","3,722"
"$40,788,500","$159,565,500",,4/7,Paramount,Comedy,Daddy's Home,12/25,22,PG-13,"December 25, 2015",1 hrs. 36 min.,Par.,"$150,357,137",2015,"3,271","3,483"
