adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,total_gross,year,theaters_opening,theaters_gross
"$161,609,600","$553,645,200",$200 million,5/4,Buena Vista,Sci-Fi Adventure,Rogue One: A Star Wars Story,12/16,1,PG-13,"December 16, 2016",2 hrs. 13 min.,BV,"$532,177,324",2016,"4,157","4,157"
"$141,712,700","$514,408,100",,12/8,Buena Vista,Animation,Finding Dory,6/17,2,PG,"June 17, 2016",1 hrs. 43 min.,BV,"$486,295,561",2016,"4,305","4,305"
"$187,962,700","$428,277,900",$250 million,9/22,Buena Vista,Action / Adventure,Captain America: Civil War,5/6,3,PG-13,"May 6, 2016",2 hrs. 27 min.,BV,"$408,084,349",2016,"4,226","4,226"
"$112,323,500","$396,388,100",$75 million,12/29,Universal,Animation,The Secret Life of Pets,7/8,4,PG,"July 8, 2016",1 hrs. 30 min.,Uni.,"$368,384,330",2016,"4,370","4,381"
"$141,387,100","$387,403,700",$58 million,6/16,Fox,Action,Deadpool,2/12,5,R,"February 12, 2016",1 hrs. 46 min.,Fox,"$363,070,709",2016,"3,558","3,856"
"$108,347,700","$382,070,300",$175 million,9/29,Buena Vista,Adventure,The Jungle Book (2016),4/15,6,PG,"April 15, 2016",1 hrs. 45 min.,BV,"$364,001,123",2016,"4,028","4,144"
"$80,137,600","$362,791,800",,8/4,Buena Vista,Animation,Zootopia,3/4,7,PG,"March 4, 2016",1 hrs. 48 min.,BV,"$341,268,248",2016,"3,827","3,959"
"$177,229,300","$350,467,400",$250 million,6/16,Warner Bros.,Action / Adventure,Batman v Superman: Dawn of Justice,3/25,8,PG-13,"March 25, 2016",2 hrs. 31 min.,WB,"$330,360,194",2016,"4,242","4,256"
"$143,893,000","$349,720,300",$175 million,11/10,Warner Bros.,Action / Adventure,Suicide Squad,8/5,9,PG-13,"August 5, 2016",2 hrs. 10 min.,WB,"$325,100,054",2016,"4,255","4,255"
"$36,742,300","$280,904,300",$75 million,5/11,Universal,Animation,Sing,12/21,10,PG,"December 21, 2016",1 hrs. 50 min.,Uni.,"$270,395,425",2016,"4,022","4,029"
"$59,015,200","$258,931,200",,4/27,Buena Vista,Animation,Moana,11/23,11,PG,"November 23, 2016",1 hrs. 43 min.,BV,"$248,757,044",2016,"3,875","3,875"
"$77,535,300","$243,806,300",$180 million,3/30,Warner Bros.,Fantasy,Fantastic Beasts and Where To Find Them,11/18,12,PG-13,"November 18, 2016",2 hrs. 20 min.,WB,"$234,037,575",2016,"4,144","4,144"
"$88,638,700","$242,415,800",$165 million,3/16,Buena Vista,Action / Adventure,Doctor Strange,11/4,13,PG-13,"November 4, 2016",1 hrs. 55 min.,BV,"$232,641,920",2016,"3,882","3,882"
"$537,200","$175,721,700",$25 million,11/9,Fox,Drama,Hidden Figures,12/25,14,PG,"December 25, 2016",2 hrs. 7 min.,Fox,"$169,607,287",2016,25,"3,416"
"$63,738,300","$174,808,900",$120 million,12/22,Universal,Action,Jason Bourne,7/29,15,PG-13,"July 29, 2016",2 hrs. 3 min.,Uni.,"$162,434,410",2016,"4,026","4,039"
"$63,779,000","$170,959,700",$185 million,10/20,Paramount,Sci-Fi Adventure,Star Trek Beyond,7/22,16,PG-13,"July 22, 2016",2 hrs. 0 min.,Par.,"$158,848,340",2016,"3,928","3,928"
"$69,009,100","$163,176,100",$178 million,7/28,Fox,Action / Adventure,X-Men: Apocalypse,5/27,17,PG-13,"May 27, 2016",2 hrs. 23 min.,Fox,"$155,442,489",2016,"4,150","4,153"
"$48,541,900","$160,153,300",$125 million,3/30,Fox,Animation,Trolls,11/4,18,PG,"November 4, 2016",1 hrs. 34 min.,Fox,"$153,707,064",2016,"4,060","4,066"
"$918,200","$156,707,400",$30 million,4/27,Lionsgate/Summit,Musical,La La Land,12/9,19,PG-13,"December 9, 2016",2 hrs. 8 min.,LG/S,"$151,101,803",2016,5,"3,236"
"$44,072,700","$153,164,400",$145 million,7/21,Fox,Animation,Kung Fu Panda 3,1/29,20,PG,"January 29, 2016",1 hrs. 35 min.,Fox,"$143,528,619",2016,"3,955","3,987"
"$49,533,700","$138,124,400",$144 million,11/10,Sony / Columbia,Horror Comedy,Ghostbusters (2016),7/15,21,PG-13,"July 15, 2016",1 hrs. 48 min.,Sony,"$128,350,574",2016,"3,963","3,963"
"$41,470,600","$136,316,200",$180 million,9/15,Warner Bros.,Action / Adventure,The Legend of Tarzan,7/1,22,PG-13,"July 1, 2016",1 hrs. 49 min.,WB,"$126,643,061",2016,"3,561","3,591"
"$37,285,600","$135,020,100",$50 million,9/1,Warner Bros. (New Line),Comedy,Central Intelligence,6/17,23,PG-13,"June 17, 2016",1 hrs. 47 min.,WB (NL),"$127,440,871",2016,"3,508","3,508"
"$37,703,800","$133,659,400",$60 million,1/26,Warner Bros.,Drama,Sully,9/9,24,PG-13,"September 9, 2016",1 hrs. 36 min.,WB,"$125,070,033",2016,"3,525","3,955"
"$25,636,500","$121,866,200",$20 million,10/27,STX Entertainment,Comedy,Bad Moms,7/29,25,R,"July 29, 2016",1 hrs. 41 min.,STX,"$113,257,297",2016,"3,215","3,215"
"$40,034,500","$112,862,900",$73 million,9/15,Sony / Columbia,Animation,The Angry Birds Movie,5/20,26,PG,"May 20, 2016",1 hrs. 37 min.,Sony,"$107,509,366",2016,"3,932","3,932"
"$43,061,400","$109,499,200",$165 million,9/15,Fox,Sci-Fi Adventure,Independence Day: Resurgence,6/24,27,PG-13,"June 24, 2016",2 hrs. 0 min.,Fox,"$103,144,286",2016,"4,130","4,130"
"$42,396,500","$107,816,600",$40 million,8/25,Warner Bros. (New Line),Horror,The Conjuring 2,6/10,28,R,"June 10, 2016",2 hrs. 14 min.,WB (NL),"$102,470,008",2016,"3,343","3,356"
"$36,880,600","$105,109,500",$19 million,12/22,Sony / Columbia,Animation,Sausage Party,8/12,29,R,"August 12, 2016",1 hrs. 29 min.,Sony,"$97,685,686",2016,"3,103","3,135"
"$25,087,400","$104,721,200",$47 million,3/9,Paramount,Sci-Fi,Arrival,11/11,30,PG-13,"November 11, 2016",1 hrs. 56 min.,Par.,"$100,546,139",2016,"2,317","3,115"
"$15,495,700","$103,899,700",$110 million,4/20,Sony / Columbia,Sci-Fi,Passengers (2016),12/21,31,PG-13,"December 21, 2016",1 hrs. 56 min.,Sony,"$100,014,699",2016,"3,478","3,478"
"$37,354,100","$98,939,400",$90 million,1/5,Sony / Columbia,Western,The Magnificent Seven (2016),9/23,32,PG-13,"September 23, 2016",2 hrs. 13 min.,Sony,"$93,432,655",2016,"3,674","3,696"
