adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$13,372,400","$84,284,700",$111 million,-,Fox,Animation,Ferdinand,12/15,38,PG,"December 15, 2017",1 hrs. 47 min.,Fox,"3,630","$84,376,566",2017
"$32,431,900","$82,129,900",$125 million,8/24,Universal,Action / Adventure,The Mummy (2017),6/9,39,PG-13,"June 9, 2017",1 hrs. 47 min.,Uni.,"4,035","$80,227,895",2017
"$524,900","$81,899,900",$50 million,-,Fox,Drama,The Post,12/22,40,PG-13,"December 22, 2017",1 hrs. 55 min.,Fox,"2,851","$81,902,457",2017
"$21,935,300","$77,369,800",$30 million,11/2,Lionsgate/Summit,Action Comedy,The Hitman's Bodyguard,8/18,41,R,"August 18, 2017",1 hrs. 58 min.,LG/S,"3,377","$75,468,583",2017
"$37,009,100","$76,006,300",$97 million,8/31,Fox,Sci-Fi Horror,Alien: Covenant,5/19,42,R,"May 19, 2017",2 hrs. 2 min.,Fox,"3,772","$74,262,031",2017
"$24,411,200","$75,667,100",$38 million,11/2,Fox,Animation,Captain Underpants: The First Epic Movie,6/2,43,PG,"June 2, 2017",1 hrs. 29 min.,Fox,"3,529","$73,921,000",2017
"$16,722,600","$71,953,600",$28 million,1/11,STX Entertainment,Comedy,A Bad Moms Christmas,11/1,44,R,"November 1, 2017",1 hrs. 44 min.,STX,"3,615","$72,110,659",2017
"$18,882,500","$66,831,400",$22 million,5/18,Universal,Comedy / Drama,A Dog's Purpose,1/27,45,PG,"January 27, 2017",2 hrs. 0 min.,Uni.,"3,178","$64,508,620",2017
"$166,200","$63,833,000",N/A,5/3,Fox Searchlight,Fantasy Drama,The Shape of Water,12/1,46,R,"December 1, 2017",1 hrs. 59 min.,FoxS,"2,341","$63,859,435",2017
"$20,959,300","$59,810,400",N/A,11/30,Warner Bros.,Animation,The LEGO Ninjago Movie,9/22,47,PG,"September 22, 2017",1 hrs. 41 min.,WB,"4,047","$59,281,555",2017
"$18,938,000","$59,424,900",$69 million,7/27,Paramount,Action Comedy,Baywatch,5/25,48,R,"May 25, 2017",1 hrs. 56 min.,Par.,"3,647","$58,060,186",2017
"$16,757,500","$59,381,300",N/A,5/18,Lionsgate/Summit,Drama,The Shack,3/3,49,PG-13,"March 3, 2017",2 hrs. 12 min.,LG/S,"2,888","$57,386,418",2017
"$174,600","$56,440,800",N/A,4/12,Focus Features,Drama,Darkest Hour,11/22,50,PG-13,"November 22, 2017",2 hrs. 5 min.,Focus,"1,733","$56,468,410",2017
"$25,982,300","$55,562,500",$4.8 million,12/14,Universal,Horror,Happy Death Day,10/13,51,PG-13,"October 13, 2017",1 hrs. 36 min.,Uni.,"3,535","$55,683,845",2017
"$321,500","$54,462,600",N/A,5/3,Fox Searchlight,Crime Comedy,"Three Billboards Outside Ebbing, Missouri",11/10,52,R,"November 10, 2017",1 hrs. 55 min.,FoxS,"1,726","$54,513,740",2017
"$18,757,400","$53,015,900",$30 million,10/5,Focus Features,Thriller,Atomic Blonde,7/28,53,R,"July 28, 2017",1 hrs. 55 min.,Focus,"3,326","$51,687,870",2017
"$19,647,000","$51,999,600",$60 million,10/19,Sony / Columbia,Fantasy,The Dark Tower,8/4,54,PG-13,"August 4, 2017",1 hrs. 35 min.,Sony,"3,451","$50,701,325",2017
"$17,208,500","$51,230,100",$50 million,12/14,Universal,Crime Thriller,American Made,9/29,55,R,"September 29, 2017",1 hrs. 55 min.,Uni.,"3,098","$51,342,000",2017
"$363,600","$48,893,000",N/A,4/5,A24,Comedy / Drama,Lady Bird,11/3,56,R,"November 3, 2017",1 hrs. 33 min.,A24,"1,557","$48,958,273",2017
"$21,180,700","$47,216,500",$25 million,12/14,Lionsgate,Comedy,Tyler Perry's Boo 2! A Madea Halloween,10/20,57,PG-13,"October 20, 2017",1 hrs. 41 min.,LGF,"2,388","$47,319,572",2017
"$19,138,200","$47,183,200",$150 million,6/1,Universal,Action,The Great Wall,2/17,58,PG-13,"February 17, 2017",1 hrs. 44 min.,Uni.,"3,328","$45,540,830",2017
"$20,000,800","$46,928,500",$42 million,8/3,Fox,Comedy,Snatched,5/12,59,R,"May 12, 2017",1 hrs. 31 min.,Fox,"3,511","$45,852,178",2017
"$20,858,800","$46,523,700",$85 million,3/16,Paramount,Action / Adventure,xXx: The Return of Xander Cage,1/20,60,PG-13,"January 20, 2017",1 hrs. 47 min.,Par.,"3,651","$44,898,413",2017
"$13,520,400","$46,077,200",$60 million,8/3,Sony / Columbia,Animation,Smurfs: The Lost Village,4/7,61,PG,"April 7, 2017",1 hrs. 21 min.,Sony,"3,610","$45,020,282",2017
"$12,212,300","$46,075,100",$25 million,7/13,Warner Bros. (New Line),Comedy,Going in Style (2017),4/7,62,PG-13,"April 7, 2017",1 hrs. 36 min.,WB (NL),"3,076","$45,018,541",2017
"$27,055,600","$45,985,700",$40 million,8/3,Lionsgate/Summit,Drama,All Eyez on Me,6/16,63,R,"June 16, 2017",2 hrs. 20 min.,LG/S,"2,471","$44,922,302",2017
"$11,468,500","$45,383,800",$5.5 million,10/19,Entertainment Studios,Horror Thriller,47 Meters Down,6/16,64,PG-13,"June 16, 2017",1 hrs. 29 min.,ENTMP,"2,471","$44,307,192",2017
"$431,500","$43,972,500",N/A,10/22,Lionsgate,Romantic Comedy,The Big Sick,6/23,65,R,"June 23, 2017",2 hrs. 0 min.,LGF,"2,597","$42,873,127",2017
"$17,445,700","$42,250,400",$177.2 million,9/21,STX Entertainment,Sci-Fi,Valerian and the City of a Thousand Planets,7/21,66,PG-13,"July 21, 2017",2 hrs. 17 min.,STX,"3,553","$41,189,488",2017
"$19,352,100","$41,515,300",$110 million,5/25,Paramount,Sci-Fi Action,Ghost in the Shell (2017),3/31,67,PG-13,"March 31, 2017",2 hrs. 0 min.,Par.,"3,440","$40,563,557",2017
"$9,791,300","$40,763,800",$20 million,2/15,Sony / Columbia,Animation,The Star,11/17,68,PG,"November 17, 2017",1 hrs. 26 min.,Sony,"2,976","$40,852,824",2017
"$15,731,900","$40,095,300",$175 million,7/20,Warner Bros.,Adventure,King Arthur: Legend of the Sword,5/12,69,PG-13,"May 12, 2017",2 hrs. 6 min.,WB,"3,702","$39,175,066",2017
"$16,604,200","$37,969,900",$10 million,12/21,Lionsgate,Horror,Jigsaw,10/27,70,R,"October 27, 2017",1 hrs. 31 min.,LGF,"2,941","$38,052,832",2017
"$15,229,200","$36,968,200",$33 million,11/9,Lionsgate,Action / Adventure,American Assassin,9/15,71,R,"September 15, 2017",1 hrs. 51 min.,LGF,"3,154","$36,249,674",2017
"$12,002,600","$34,922,800",$10 million,7/27,Warner Bros.,Drama,"Everything, Everything",5/19,72,PG-13,"May 19, 2017",1 hrs. 36 min.,WB,"2,801","$34,121,140",2017
"$165,700","$34,626,400",$11 million,12/7,Weinstein Company,Drama,Wind River,8/4,73,R,"August 4, 2017",1 hrs. 50 min.,Wein.,"2,890","$33,800,859",2017
"$11,347,100","$34,578,100",N/A,3/16,Paramount,Action Comedy,Monster Trucks,1/13,74,PG,"January 13, 2017",1 hrs. 44 min.,Par.,"3,119","$33,370,166",2017
"$13,084,500","$34,318,600",$35 million,12/21,STX Entertainment,Action Thriller,The Foreigner,10/13,75,R,"October 13, 2017",1 hrs. 54 min.,STX,"2,515","$34,393,507",2017
"$13,677,500","$33,626,700",$120 million,1/11,Warner Bros.,Action,Geostorm,10/20,76,PG-13,"October 20, 2017",1 hrs. 49 min.,WB,"3,246","$33,700,160",2017
"$12,643,600","$33,348,500",N/A,4/13,Warner Bros. (New Line),Comedy,Fist Fight,2/17,77,R,"February 17, 2017",1 hrs. 31 min.,WB (NL),"3,185","$32,187,017",2017
"$12,539,900","$32,903,700",N/A,6/22,Pantelion,Comedy,How to be a Latin Lover,4/28,78,PG-13,"April 28, 2017",1 hrs. 55 min.,PNT,"1,203","$32,149,404",2017
"$10,274,300","$31,503,900",$21 million,11/16,Aviron,Action Thriller,Kidnap (2017),8/4,79,R,"August 4, 2017",1 hrs. 29 min.,Aviron,"2,418","$30,718,107",2017
"$14,184,300","$31,452,800",$35 million,3/9,Sony / Screen Gems,Action Horror,Underworld: Blood Wars,1/6,80,R,"January 6, 2017",1 hrs. 31 min.,SGem,"3,070","$30,353,973",2017
"$12,954,500","$31,156,700",$58 million,6/1,Sony / Columbia,Sci-Fi Thriller,Life (2017),3/24,81,R,"March 24, 2017",1 hrs. 43 min.,Sony,"3,146","$30,234,022",2017
"$10,528,300","$30,282,400",$35 million,12/21,Fox,Drama,The Mountain Between Us,10/6,82,PG-13,"October 6, 2017",1 hrs. 43 min.,Fox,"3,259","$30,348,555",2017
"$263,600","$30,010,700",N/A,4/19,Neon,Comedy,"I, Tonya",12/8,83,R,"December 8, 2017",2 hrs. 0 min.,Neon,"1,450","$30,014,539",2017
"$22,800","$29,819,000",N/A,-,Entertainment Studios,Drama,Hostiles,12/22,84,R,"December 22, 2017",2 hrs. 15 min.,ENTMP,"2,934","$29,819,114",2017
"$8,557,200","$29,101,200",$40 million,9/28,Open Road Films,Animation,The Nut Job 2: Nutty by Nature,8/11,85,PG,"August 11, 2017",1 hrs. 31 min.,ORF,"4,003","$28,370,522",2017
"$13,473,300","$28,799,100",$25 million,3/23,Paramount,Horror,Rings,2/3,86,PG-13,"February 3, 2017",1 hrs. 42 min.,Par.,"2,931","$27,793,018",2017
"$2,344,800","$28,774,200",N/A,3/8,STX Entertainment,Drama,Molly's Game,12/25,87,R,"December 25, 2017",2 hrs. 20 min.,STX,"1,708","$28,780,744",2017
"$7,795,800","$28,490,300",$29 million,11/9,Bleecker Street,Action Comedy,Logan Lucky,8/18,88,PG-13,"August 18, 2017",1 hrs. 59 min.,BST,"3,031","$27,780,977",2017
"$14,094,100","$27,801,300",$40 million,3/30,Sony / Screen Gems,Sci-Fi Action,Resident Evil: The Final Chapter,1/27,89,R,"January 27, 2017",1 hrs. 46 min.,SGem,"3,104","$26,830,068",2017
"$8,788,600","$27,615,800",$12 million,11/9,Open Road Films,Romantic Comedy,Home Again,9/8,90,PG-13,"September 8, 2017",1 hrs. 37 min.,ORF,"3,036","$27,020,284",2017
"$8,929,500","$26,243,500",$40 million,8/31,Warner Bros. (New Line),Comedy,The House,6/30,91,R,"June 30, 2017",1 hrs. 28 min.,WB (NL),"3,134","$25,584,504",2017
"$456,900","$25,383,700",$7 million,8/24,Fox Searchlight,Drama,Gifted,4/7,92,PG-13,"April 7, 2017",1 hrs. 41 min.,FoxS,"2,215","$24,801,212",2017
"$5,572,500","$25,098,200",N/A,3/22,TriStar,Crime,All the Money in the World,12/25,93,R,"December 25, 2017",2 hrs. 12 min.,TriS,"2,123","$25,113,707",2017
"$4,943,500","$24,396,500",$68 million,2/1,Paramount,Comedy / Drama,Downsizing,12/22,94,R,"December 22, 2017",2 hrs. 15 min.,Par.,"2,668","$24,449,754",2017
"$13,990,100","$23,206,500",$7.4 million,2/16,STX Entertainment,Horror Thriller,The Bye Bye Man,1/13,95,PG-13,"January 13, 2017",1 hrs. 36 min.,STX,"2,220","$22,395,806",2017
"$8,192,100","$22,631,300",$20 million,8/31,Sony / Columbia,Comedy / Drama,Rough Night,6/16,96,R,"June 16, 2017",1 hrs. 41 min.,Sony,"3,162","$22,105,643",2017
"$4,851,900","$22,381,100",N/A,12/7,Weinstein Company,Animation,Leap!,8/25,97,PG,"August 25, 2017",1 hrs. 29 min.,Wein.,"2,705","$21,858,070Domestic Lifetime Gross: $24,702,560",2017
"$162,900","$22,202,800",N/A,1/4,Focus Features,Drama,Victoria and Abdul,9/22,98,PG-13,"September 22, 2017",1 hrs. 52 min.,Focus,"1,060","$22,245,070",2017
"$8,866,500","$21,837,400",N/A,-,Lionsgate,Animation,My Little Pony: The Movie,10/6,99,PG,"October 6, 2017",1 hrs. 39 min.,LGF,"2,528","$21,885,107",2017
"$8,646,200","$21,536,100",N/A,3/9,Open Road Films,Crime Drama,Sleepless,1/13,100,R,"January 13, 2017",1 hrs. 35 min.,ORF,"1,803","$20,783,704",2017
"$6,887,200","$20,044,300",$22 million,8/17,Fox,Comedy,Diary of a Wimpy Kid: The Long Haul,5/19,101,PG,"May 19, 2017",1 hrs. 30 min.,Fox,"3,174","$20,738,724",2017
"$1,141,400","$19,909,900",N/A,3/8,A24,Comedy,The Disaster Artist,12/1,102,R,"December 1, 2017",1 hrs. 38 min.,A24,"1,010","$21,120,616",2017
"$204,000","$19,878,900",N/A,4/12,Focus Features,Drama,Phantom Thread,12/25,103,R,"December 25, 2017",2 hrs. 10 min.,Focus,"1,186","$21,051,680",2017
"$8,731,300","$19,810,800",$18 million,6/8,STX Entertainment,Drama / Thriller,The Circle (2017),4/28,104,PG-13,"April 28, 2017",1 hrs. 50 min.,STX,"3,163","$20,497,844",2017
"$10,080,900","$19,510,000",N/A,5/25,Great India Films,Action / Adventure,Baahubali 2: The Conclusion,4/28,105,Unrated,"April 28, 2017",2 hrs. 47 min.,GrtIndia,425,"$20,186,659",2017
"$7,556,800","$18,100,700",$25 million,5/25,Warner Bros.,Action Comedy,CHiPs,3/24,106,R,"March 24, 2017",1 hrs. 40 min.,WB,"2,464","$18,600,152",2017
"$5,656,100","$17,284,900",$38 million,2/1,Sony / Columbia,Action,Only The Brave,10/20,107,PG-13,"October 20, 2017",2 hrs. 13 min.,Sony,"2,577","$18,343,983",2017
"$7,298,400","$17,164,400",$30 million,10/26,Paramount,Drama / Thriller,mother!,9/15,108,R,"September 15, 2017",2 hrs. 1 min.,Par.,"2,368","$17,800,004",2017
"$389,100","$17,080,100",N/A,-,Sony Classics,Drama,Call Me by Your Name,11/24,109,R,"November 24, 2017",2 hrs. 12 min.,SPC,914,"$18,095,701",2017
"$3,218,100","$16,982,700",N/A,6/22,Focus Features,Drama,The Zookeeper's Wife,3/31,110,PG-13,"March 31, 2017",2 hrs. 6 min.,Focus,"1,057","$17,571,660",2017
"$4,531,900","$16,726,800",N/A,10/12,Lionsgate,Drama,The Glass Castle,8/11,111,PG-13,"August 11, 2017",2 hrs. 7 min.,LGF,"1,461","$17,273,059",2017
"$3,097,700","$16,490,800",N/A,2/15,Warner Bros.,Comedy,Father Figures,12/22,112,R,"December 22, 2017",1 hrs. 53 min.,WB,"2,902","$17,501,244",2017
"$339,200","$16,263,400",$34 million,10/12,Annapurna Pictures,Crime Drama,Detroit,7/28,113,R,"July 28, 2017",2 hrs. 23 min.,Annapurna,"3,007","$16,790,139",2017
"$6,368,200","$15,908,400",$19 million,11/23,Sony / Columbia,Sci-Fi Horror,Flatliners (2017),9/29,114,PG-13,"September 29, 2017",1 hrs. 48 min.,Sony,"2,552","$16,883,115",2017
"$3,834,900","$14,190,500",N/A,6/29,Pure Flix,Drama,The Case for Christ,4/7,115,PG,"April 7, 2017",1 hrs. 52 min.,PFR,"1,386","$14,682,684",2017
"$5,295,700","$13,852,900",$12 million,10/12,Broad Green Pictures,Horror,Wish Upon,7/14,116,PG-13,"July 14, 2017",1 hrs. 30 min.,BG,"2,250","$14,301,505",2017
"$5,787,600","$13,517,600",N/A,9/17,A24,Horror,It Comes At Night,6/9,117,R,"June 9, 2017",1 hrs. 37 min.,A24,"2,533","$13,985,117",2017
"$4,629,800","$13,408,200",N/A,7/6,Buena Vista,Documentary,Born in China,4/21,118,G,"April 21, 2017",1 hrs. 16 min.,BV,"1,508","$13,873,211",2017
"$3,683,100","$12,962,000",N/A,9/14,Bleecker Street,Drama,Megan Leavey,6/9,119,PG-13,"June 9, 2017",1 hrs. 56 min.,BST,"1,956","$13,406,883",2017
"$3,330,900","$12,510,500",N/A,4/27,Weinstein Company,Drama,The Founder,1/19,120,PG-13,"January 19, 2017",1 hrs. 55 min.,Wein.,"1,115","$12,786,053",2017
"$4,589,400","$11,975,200",N/A,4/27,Open Road Films,Drama,Before I Fall,3/3,121,PG-13,"March 3, 2017",1 hrs. 39 min.,ORF,"2,346","$12,241,122",2017
"$502,100","$11,926,700",N/A,12/21,Fox Searchlight,Sports,Battle of the Sexes,9/22,122,PG-13,"September 22, 2017",2 hrs. 1 min.,FoxS,"1,822","$12,638,526",2017
"$58,400","$11,272,100",$22 million,2/22,Sony / Columbia,Crime Drama,"Roman J. Israel, Esq.",11/17,123,PG-13,"November 17, 2017",2 hrs. 9 min.,Sony,"1,669","$11,962,778",2017
"$4,625,000","$10,987,000",$12 million,6/1,Warner Bros.,Thriller,Unforgettable (2017),4/21,124,R,"April 21, 2017",1 hrs. 40 min.,WB,"2,417","$11,368,012",2017
"$221,600","$10,373,500",N/A,8/17,Focus Features,Drama,The Beguiled (2017),6/23,125,R,"June 23, 2017",1 hrs. 33 min.,Focus,941,"$10,709,995",2017
"$4,048,300","$9,927,800",$5 million,5/25,BH Tilt,Horror Thriller,The Belko Experiment,3/17,126,R,"March 17, 2017",1 hrs. 28 min.,BH Tilt,"1,341","$10,166,820",2017
"$2,827,600","$9,471,300",$12 million,1/18,Open Road Films,Drama,Marshall,10/13,127,PG-13,"October 13, 2017",1 hrs. 58 min.,ORF,821,"$10,051,659",2017
"$3,625,100","$9,216,300",N/A,4/13,Lionsgate/Summit,Animation,Rock Dog,2/24,128,PG,"February 24, 2017",1 hrs. 20 min.,LG/S,"2,077","$9,420,546",2017
"$3,597,300","$8,985,700",$20 million,11/30,Universal,Drama,Thank You for Your Service (2017),10/27,129,R,"October 27, 2017",1 hrs. 48 min.,Uni.,"2,083","$9,536,300",2017
"$106,500","$8,293,000",N/A,7/20,Bleecker Street,Action / Adventure,The Lost City of Z,4/14,130,PG-13,"April 14, 2017",2 hrs. 20 min.,BST,866,"$8,580,410",2017
"$3,958,400","$7,948,600",$90 million,5/18,Open Road Films,Drama,The Promise (2017),4/21,131,PG-13,"April 21, 2017",2 hrs. 14 min.,ORF,"2,251","$8,224,288",2017
"$4,263,300","$7,932,800",$40 million,3/23,Fox,Horror,A Cure for Wellness,2/17,132,R,"February 17, 2017",2 hrs. 26 min.,Fox,"2,704","$8,106,986",2017
"$3,694,400","$7,715,800",$30 million,3/2,STX Entertainment,Sci-Fi Adventure,The Space Between Us,2/3,133,PG-13,"February 3, 2017",2 hrs. 1 min.,STX,"2,812","$7,885,294",2017
"$3,396,700","$7,071,700",N/A,3/9,Weinstein Company,Adventure,Gold,1/27,134,R,"January 27, 2017",2 hrs. 1 min.,Wein.,"2,166","$7,227,038",2017
"$671,600","$6,965,700",N/A,6/8,Magnolia,Documentary,I am Not Your Negro,2/3,135,PG-13,"February 3, 2017",1 hrs. 33 min.,Magn.,320,"$7,123,919",2017
"$137,200","$6,884,800",N/A,10/5,Roadside Attractions,Comedy,Beatriz At Dinner,6/9,136,R,"June 9, 2017",1 hrs. 17 min.,RAtt.,683,"$7,115,854",2017
"$1,629,700","$6,815,900",N/A,2/16,Atlas Distribution,Drama,Let there be Light,10/27,137,PG-13,"October 27, 2017",1 hrs. 41 min.,ADC,774,"$7,233,471",2017
"$2,617,700","$6,685,600",N/A,9/28,BH Tilt,Action,Birth of the Dragon,8/25,138,PG-13,"August 25, 2017",1 hrs. 43 min.,BH Tilt,"1,633","$6,901,965",2017
"$22,500","$6,348,400",N/A,3/22,Good Deed,Animation,Loving Vincent,9/22,139,PG-13,"September 22, 2017",1 hrs. 34 min.,Good Deed,218,"$6,735,118",2017
"$3,177,900","$6,313,200",$35 million,11/23,Universal,Thriller,The Snowman,10/20,140,R,"October 20, 2017",1 hrs. 59 min.,Uni.,"1,815","$6,700,035",2017
"$2,323,300","$6,092,300",N/A,6/29,BH Tilt,Drama,Lowriders,5/12,141,PG-13,"May 12, 2017",1 hrs. 39 min.,BH Tilt,365,"$6,303,560",2017
"$2,442,300","$6,052,700",N/A,2/1,Pure Flix,Drama,Same Kind of Different as Me,10/20,142,PG-13,"October 20, 2017",1 hrs. 59 min.,PFR,"1,362","$6,423,605",2017
"$44,400","$5,907,600",N/A,11/16,Sony Classics,Drama,Maudie,4/14,143,PG-13,"April 14, 2017",1 hrs. 55 min.,SPC,233,"$6,170,998",2017
"$3,016,600","$5,719,200",$22 million,1/25,Broad Green Pictures,Action Comedy,Just Getting Started,12/8,144,PG-13,"December 8, 2017",1 hrs. 31 min.,BG,"2,161","$6,069,605",2017
"$1,466,800","$5,616,000",$2 million,10/26,Sony / Columbia,Drama,All Saints,8/25,145,PG,"August 25, 2017",1 hrs. 48 min.,Sony,846,"$5,802,208",2017
"$148,500","$5,564,800",N/A,3/22,A24,Drama,The Florida Project,10/6,146,R,"October 6, 2017",1 hrs. 55 min.,A24,229,"$5,904,366",2017
