adjusted_opening,adjusted_total_gross,budget,close,distributor,genre,movie_title,open,rank,rating,release_date,runtime,studio,theaters,total_gross,year
"$219,530,300","$619,169,000",N/A,4/19,Buena Vista,Sci-Fi Fantasy,Star Wars: The Last Jedi,12/15,1,PG-13,"December 15, 2017",2 hrs. 31 min.,BV,"4,232","$620,181,382",2017
"$181,076,400","$520,271,600",$160 million,7/13,Buena Vista,Fantasy,Beauty and the Beast (2017),3/17,2,PG,"March 17, 2017",2 hrs. 9 min.,BV,"4,210","$504,014,165",2017
"$105,674,100","$422,418,200",$149 million,11/9,Warner Bros.,Action / Adventure,Wonder Woman,6/2,3,PG-13,"June 2, 2017",2 hrs. 21 min.,WB,"4,165","$412,563,408",2017
"$36,090,500","$404,163,100",$90 million,-,Sony / Columbia,Action,Jumanji: Welcome to the Jungle,12/20,4,PG-13,"December 20, 2017",1 hrs. 59 min.,Sony,"3,849","$404,422,300",2017
"$149,947,800","$398,977,800",$200 million,9/21,Buena Vista,Action / Adventure,Guardians of the Galaxy Vol. 2,5/5,5,PG-13,"May 5, 2017",2 hrs. 17 min.,BV,"4,347","$389,813,101",2017
"$120,041,600","$342,750,600",$175 million,11/30,Sony / Columbia,Action / Adventure,Spider-Man: Homecoming,7/7,6,PG-13,"July 7, 2017",2 hrs. 13 min.,Sony,"4,348","$334,201,140",2017
"$126,581,800","$334,418,800",$35 million,12/14,Warner Bros. (New Line),Horror,It,9/8,7,R,"September 8, 2017",2 hrs. 15 min.,WB (NL),"4,148","$327,481,748",2017
"$122,477,600","$314,382,100",$180 million,3/15,Buena Vista,Action / Adventure,Thor: Ragnarok,11/3,8,PG-13,"November 3, 2017",2 hrs. 10 min.,BV,"4,080","$315,058,289",2017
"$74,133,600","$271,364,000",$80 million,12/21,Universal,Animation,Despicable Me 3,6/30,9,PG,"June 30, 2017",1 hrs. 30 min.,Uni.,"4,535","$264,624,300",2017
"$91,612,300","$234,205,600",$97 million,7/13,Fox,Action / Adventure,Logan,3/3,10,R,"March 3, 2017",2 hrs. 15 min.,Fox,"4,071","$226,277,068",2017
"$101,104,600","$231,313,000",$250 million,8/10,Universal,Action,The Fate of the Furious,4/14,11,PG-13,"April 14, 2017",2 hrs. 16 min.,Uni.,"4,329","$226,008,385",2017
"$93,637,800","$228,535,600",N/A,3/15,Warner Bros.,Action / Adventure,Justice League,11/17,12,PG-13,"November 17, 2017",1 hrs. 59 min.,WB,"4,051","$229,024,295",2017
"$50,691,900","$209,350,500",N/A,4/26,Buena Vista,Animation,Coco,11/22,13,PG,"November 22, 2017",1 hrs. 49 min.,BV,"3,987","$209,726,015",2017
"$51,814,500","$192,847,000",$100 million,11/23,Warner Bros.,War,Dunkirk,7/21,14,PG-13,"July 21, 2017",1 hrs. 46 min.,WB,"4,014","$188,045,546Domestic Lifetime Gross: $190,068,280",2017
"$34,585,300","$182,086,200",$4.5 million,2/15,Universal,Horror,Get Out,2/24,15,R,"February 24, 2017",1 hrs. 43 min.,Uni.,"3,143","$176,040,665",2017
"$54,922,100","$182,063,700",$80 million,6/8,Warner Bros.,Animation,The LEGO Batman Movie,2/10,16,PG,"February 10, 2017",1 hrs. 44 min.,WB,"4,088","$175,750,384",2017
"$52,016,100","$179,112,500",N/A,11/2,Fox,Animation,The Boss Baby,3/31,17,PG,"March 31, 2017",1 hrs. 37 min.,Fox,"3,829","$175,003,033",2017
"$64,461,100","$176,629,500",$230 million,9/21,Buena Vista,Period Adventure,Pirates of the Caribbean: Dead Men Tell No Tales,5/26,18,PG-13,"May 26, 2017",2 hrs. 9 min.,BV,"4,276","$172,558,876",2017
"$8,786,700","$173,808,900",$84 million,-,Fox,Musical,The Greatest Showman,12/20,19,PG,"December 20, 2017",1 hrs. 45 min.,Fox,"3,342","$173,881,876",2017
"$63,234,500","$173,766,800",$185 million,6/15,Warner Bros.,Action / Adventure,Kong: Skull Island,3/10,20,PG-13,"March 10, 2017",1 hrs. 58 min.,WB,"3,846","$168,052,812",2017
"$54,948,400","$156,571,000",N/A,11/2,Buena Vista,Animation,Cars 3,6/16,21,G,"June 16, 2017",1 hrs. 42 min.,BV,"4,256","$152,901,115",2017
"$57,712,000","$150,647,500",$150 million,11/30,Fox,Sci-Fi Action,War for the Planet of the Apes,7/14,22,PG-13,"July 14, 2017",2 hrs. 20 min.,Fox,"4,100","$146,880,162",2017
"$41,459,300","$143,285,100",$9 million,5/11,Universal,Horror Thriller,Split,1/20,23,PG-13,"January 20, 2017",1 hrs. 57 min.,Uni.,"3,373","$138,291,365",2017
"$45,728,400","$133,326,200",$217 million,8/24,Paramount,Sci-Fi Action,Transformers: The Last Knight,6/21,24,PG-13,"June 21, 2017",2 hrs. 29 min.,Par.,"4,132","$130,168,683",2017
"$27,487,800","$132,165,100",N/A,3/22,Lionsgate,Drama,Wonder,11/17,25,PG,"November 17, 2017",1 hrs. 53 min.,LGF,"3,519","$132,422,809",2017
"$48,294,400","$118,727,100",$55 million,4/6,Universal,Romance,Fifty Shades Darker,2/10,26,R,"February 10, 2017",1 hrs. 55 min.,Uni.,"3,714","$114,581,250",2017
"$32,005,600","$118,130,100",$19 million,10/19,Universal,Comedy,Girls Trip,7/21,27,R,"July 21, 2017",2 hrs. 2 min.,Uni.,"2,648","$115,171,585",2017
"$21,035,600","$110,574,300",$34 million,10/19,TriStar,Action / Crime,Baby Driver,6/28,28,R,"June 28, 2017",1 hrs. 52 min.,TriS,"3,226","$107,825,862",2017
"$19,885,100","$104,796,200",$45 million,3/8,Universal,Comedy,Pitch Perfect 3,12/22,29,PG-13,"December 22, 2017",1 hrs. 36 min.,Uni.,"3,468","$104,897,530",2017
"$35,908,000","$104,698,600",$15 million,11/2,Warner Bros. (New Line),Horror,Annabelle: Creation,8/11,30,R,"August 11, 2017",1 hrs. 49 min.,WB (NL),"3,565","$102,092,201",2017
"$29,586,600","$103,802,800",$69 million,2/15,Paramount,Comedy,Daddy's Home 2,11/10,31,PG-13,"November 10, 2017",1 hrs. 40 min.,Par.,"3,575","$104,029,443",2017
"$28,619,000","$102,608,700",$55 million,-,Fox,Thriller,Murder on the Orient Express (2017),11/10,32,PG-13,"November 10, 2017",1 hrs. 54 min.,Fox,"3,354","$102,826,543",2017
"$40,028,100","$101,404,900",$104 million,1/4,Fox,Action Comedy,Kingsman: The Golden Circle,9/22,33,R,"September 22, 2017",2 hrs. 21 min.,Fox,"4,038","$100,234,838",2017
"$31,537,900","$95,348,300",N/A,4/27,Lionsgate/Summit,Action,John Wick: Chapter Two,2/10,34,R,"February 10, 2017",2 hrs. 2 min.,LG/S,"3,113","$92,029,184",2017
"$32,681,800","$91,854,600",$150 million,2/1,Warner Bros.,Sci-Fi,Blade Runner 2049,10/6,35,R,"October 6, 2017",2 hrs. 43 min.,WB,"4,058","$92,054,159",2017
"$25,163,800","$88,266,700",$50 million,11/30,Sony / Columbia,Animation,The Emoji Movie,7/28,36,PG,"July 28, 2017",1 hrs. 26 min.,Sony,"4,075","$86,089,513",2017
"$41,759,100","$88,011,300",$100 million,6/1,Lionsgate,Action / Adventure,Power Rangers (2017),3/24,37,PG-13,"March 24, 2017",2 hrs. 4 min.,LGF,"3,693","$85,364,450",2017
